Ponto,Arquivo,Shape,Dtype,Min,Max
Point14,IDO.tif,"(2048, 2048)",uint16,0,7
Point14,Keratin17.tif,"(2048, 2048)",uint16,0,21
Point14,Keratin6.tif,"(2048, 2048)",uint16,0,62
Point14,Ki67.tif,"(2048, 2048)",uint16,0,29
Point14,Lag3.tif,"(2048, 2048)",uint16,0,16
Point14,MPO.tif,"(2048, 2048)",uint16,0,51
Point14,Na.tif,"(2048, 2048)",uint16,0,586
Point14,OX40.tif,"(2048, 2048)",uint16,0,9
Point14,P.tif,"(2048, 2048)",uint16,0,116
Point14,p53.tif,"(2048, 2048)",uint16,0,29
Point14,Pan-Keratin.tif,"(2048, 2048)",uint16,0,33
Point14,PD-L1.tif,"(2048, 2048)",uint16,0,8
Point14,PD1.tif,"(2048, 2048)",uint16,0,8
Point14,phospho-S6.tif,"(2048, 2048)",uint16,0,19
Point14,Segmentation.tif,"(2048, 2048)",uint16,0,1
Point14,SegmentationInterior.tif,"(2048, 2048)",uint8,0,1
Point14,Si.tif,"(2048, 2048)",uint16,0,516
Point14,SMA.tif,"(2048, 2048)",uint16,0,45
Point14,Ta.tif,"(2048, 2048)",uint16,0,399
Point14,Vimentin.tif,"(2048, 2048)",uint16,0,102
Point15,Au.tif,"(2048, 2048)",uint16,0,463
Point15,B7H3.tif,"(2048, 2048)",uint16,0,0
Point15,Background.tif,"(2048, 2048)",uint16,0,50
Point15,Beta catenin.tif,"(2048, 2048)",uint16,0,14
Point15,C.tif,"(2048, 2048)",uint16,0,0
Point15,Ca.tif,"(2048, 2048)",uint16,0,508
Point15,CD11b.tif,"(2048, 2048)",uint16,0,6
Point15,CD11c.tif,"(2048, 2048)",uint16,0,23
Point15,CD138.tif,"(2048, 2048)",uint16,0,17
Point15,CD16.tif,"(2048, 2048)",uint16,0,57
Point15,CD163.tif,"(2048, 2048)",uint16,0,9
Point15,CD20.tif,"(2048, 2048)",uint16,0,14
Point15,CD209.tif,"(2048, 2048)",uint16,0,11
Point15,CD3.tif,"(2048, 2048)",uint16,0,5
Point15,CD31.tif,"(2048, 2048)",uint16,0,5
Point15,CD4.tif,"(2048, 2048)",uint16,0,3
Point15,CD45.tif,"(2048, 2048)",uint16,0,21
Point15,CD45RO.tif,"(2048, 2048)",uint16,0,14
Point15,CD56.tif,"(2048, 2048)",uint16,0,0
Point15,CD63.tif,"(2048, 2048)",uint16,0,76
Point15,CD68.tif,"(2048, 2048)",uint16,0,52
Point15,CD8.tif,"(2048, 2048)",uint16,0,3
Point15,CSF-1R.tif,"(2048, 2048)",uint16,0,9
Point15,dsDNA.tif,"(2048, 2048)",uint16,0,152
Point15,EGFR.tif,"(2048, 2048)",uint16,0,7
Point15,Fe.tif,"(2048, 2048)",uint16,0,506
Point15,FoxP3.tif,"(2048, 2048)",uint16,0,11
Point15,H3K27me3.tif,"(2048, 2048)",uint16,0,174
Point15,H3K9ac.tif,"(2048, 2048)",uint16,0,33
